date,control point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total,HKD2CNY,平均温度(°F),平均风速(knots),降水量(in)
4/4/2019,Airport,Arrival,29331,15048,32239,76618,1.1686,70,2.2,0
4/4/2019,Airport,Departure,48963,11905,21276,82144,1.1686,70,2.2,0
4/4/2019,Express Rail Link West Kowloon,Arrival,7063,17165,1557,25785,1.1686,70,2.2,0
4/4/2019,Express Rail Link West Kowloon,Departure,20618,9134,873,30625,1.1686,70,2.2,0
4/4/2019,Hung Hom,Arrival,1871,1123,402,3396,1.1686,70,2.2,0
4/4/2019,Hung Hom,Departure,4581,920,318,5819,1.1686,70,2.2,0
4/4/2019,Lo Wu,Arrival,75438,22606,1957,100001,1.1686,70,2.2,0
4/4/2019,Lo Wu,Departure,158537,24415,1933,184885,1.1686,70,2.2,0
4/4/2019,Lok Ma Chau Spur Line,Arrival,45863,21225,894,67982,1.1686,70,2.2,0
4/4/2019,Lok Ma Chau Spur Line,Departure,64735,19131,655,84521,1.1686,70,2.2,0
4/4/2019,Hong Kong-Zhuhai-Macao Bridge,Arrival,10268,7215,3396,20879,1.1686,70,2.2,0
4/4/2019,Hong Kong-Zhuhai-Macao Bridge,Departure,23082,9213,3886,36181,1.1686,70,2.2,0
4/4/2019,Lok Ma Chau,Arrival,24220,9707,1557,35484,1.1686,70,2.2,0
4/4/2019,Lok Ma Chau,Departure,32913,6883,873,40669,1.1686,70,2.2,0
4/4/2019,Man Kam To,Arrival,3538,1601,42,5181,1.1686,70,2.2,0
4/4/2019,Man Kam To,Departure,4715,1341,57,6113,1.1686,70,2.2,0
4/4/2019,Sha Tau Kok,Arrival,3035,873,214,4122,1.1686,70,2.2,0
4/4/2019,Sha Tau Kok,Departure,5414,784,116,6314,1.1686,70,2.2,0
4/4/2019,Shenzhen Bay,Arrival,28058,18747,2348,49153,1.1686,70,2.2,0
4/4/2019,Shenzhen Bay,Departure,58317,18170,1523,78010,1.1686,70,2.2,0
4/4/2019,China Ferry Terminal,Arrival,2617,1448,1621,5686,1.1686,70,2.2,0
4/4/2019,China Ferry Terminal,Departure,6263,1742,1534,9539,1.1686,70,2.2,0
4/4/2019,Harbour Control,Arrival,1,0,156,157,1.1686,70,2.2,0
4/4/2019,Harbour Control,Departure,2,0,7,9,1.1686,70,2.2,0
4/4/2019,Kai Tak Cruise Terminal,Arrival,622,173,28,823,1.1686,70,2.2,0
4/4/2019,Kai Tak Cruise Terminal,Departure,578,135,60,773,1.1686,70,2.2,0
4/4/2019,Macau Ferry Terminal,Arrival,9137,3465,4667,17269,1.1686,70,2.2,0
4/4/2019,Macau Ferry Terminal,Departure,12921,1413,3968,18302,1.1686,70,2.2,0
4/4/2019,Tuen Mun Ferry Terminal,Arrival,579,11,32,622,1.1686,70,2.2,0
4/4/2019,Tuen Mun Ferry Terminal,Departure,882,19,19,920,1.1686,70,2.2,0
4/5/2019,Airport,Arrival,26473,15022,28019,69514,1.1685,75.2,1.5,0
4/5/2019,Airport,Departure,36156,10175,21923,68254,1.1685,75.2,1.5,0
4/5/2019,Express Rail Link West Kowloon,Arrival,8611,39301,2005,49917,1.1685,75.2,1.5,0
4/5/2019,Express Rail Link West Kowloon,Departure,19026,20803,1028,40857,1.1685,75.2,1.5,0
4/5/2019,Hung Hom,Arrival,2820,2406,513,5739,1.1685,75.2,1.5,0
