Average Temperature(°F),Average wind speed(knots),Date,Lowest Temperature(°F),Max wind speed(knots),Highest Temperature(°F),Precipitation(in)
55.8,4.7,1/1/2019,49.3,6.4,60.8,0
56.8,4.5,1/2/2019,53.6,5.1,59.4,0
59.2,2.8,1/3/2019,55.8,4.3,62.1,0.02
66.4,2.3,1/4/2019,62.8,4.9,69.3,0.02
68,2.4,1/5/2019,63.7,3.7,71.8,0
62.9,2.8,1/6/2019,62.1,4.5,63.9,0
65.5,3.4,1/7/2019,63.5,6.2,67.1,0
65.6,2.9,1/8/2019,62.8,4.1,68.2,0
63.7,3.6,1/9/2019,62.1,6,64.8,0
67.4,2.2,1/10/2019,63.9,3.5,70.7,0
68.8,2.1,1/11/2019,64.6,5.1,74.5,0
70.3,3.2,1/12/2019,63.5,5.8,79.2,0
64.8,3.7,1/13/2019,63.5,6.6,66.6,0
65.1,3.3,1/14/2019,63,6.6,67.5,0
65.7,4,1/15/2019,61.2,6,70.7,0.12
60.4,3.9,1/16/2019,56.3,5.2,65.7,0
61.5,3.8,1/17/2019,56.3,5.6,67.1,0
62.4,3.6,1/18/2019,58.5,5.4,63.9,0
66.5,2.7,1/19/2019,63.5,5.2,71.1,0
68.3,3.5,1/20/2019,60.8,6,76.1,0.02
60.9,4.6,1/21/2019,53.6,6.2,66.2,0
57.8,3.3,1/22/2019,49.3,6.8,65.5,0
57.8,1.9,1/23/2019,51.8,5.4,67.1,0
60.7,2.6,1/24/2019,54.5,6.8,68.4,0
63.8,1.7,1/25/2019,55.8,4.9,75.2,0
63.5,4.2,1/26/2019,59.2,6.8,71.1,0
61.7,4.1,1/27/2019,59,6.6,67.3,0
61.9,1.6,1/28/2019,55.8,4.3,68.9,0
64.6,3.1,1/29/2019,59.9,6.6,69.3,0
67.7,2.9,1/30/2019,62.1,6.2,72.9,0
70.5,2.9,1/31/2019,63.7,6.2,77.9,0
62.8,3.4,2/1/2019,61.9,5.4,64.8,0
66,4,2/2/2019,61.7,7.8,68.2,0
69.9,0.9,2/3/2019,63.5,2.9,77.2,0
69.6,4.1,2/4/2019,64.8,8,78.3,0
69.5,3.4,2/5/2019,64.6,8.4,74.7,0
73.3,2.6,2/6/2019,68.4,6.8,79.7,0
71.6,2.1,2/7/2019,65.7,4.9,79.2,0
68.4,4.4,2/8/2019,65.7,7.2,77.4,0
65.8,5.8,2/9/2019,63.5,7.8,68,0
64.6,3.8,2/10/2019,62.8,6.2,65.3,0.02
62,3.1,2/11/2019,60.3,4.9,63.7,0.02
66.3,2.9,2/12/2019,61.7,5.6,70.2,0.04
69.6,3.5,2/13/2019,65.7,5.4,76.5,0
69.1,5.4,2/14/2019,66.2,8.5,74.3,0
68.8,2.2,2/15/2019,66.2,5.6,72,0
71.7,3.4,2/16/2019,65.7,5.2,81.9,0
64.6,5.5,2/17/2019,62.6,8.2,66.6,0
64,4.8,2/18/2019,61.2,9.1,65.7,0
70.5,4.5,2/19/2019,66.6,7,74.7,1.22
73.3,3.3,2/20/2019,69.3,5.1,78.3,0.47
70.8,3.6,2/21/2019,67.5,5.6,72.9,0
68.2,3.5,2/22/2019,65.3,4.9,73.4,0.04
61,4.6,2/23/2019,56.7,8.9,64.6,0
60.5,3.2,2/24/2019,55.4,4.7,63.9,0.59
63,2.8,2/25/2019,59.9,4.1,64.8,0
65.8,4,2/26/2019,64.4,6.8,66.6,0
70,2.4,2/27/2019,67.1,5.8,73.4,0
73.2,3.3,2/28/2019,67.5,5.6,80.1,0
68.9,4.5,3/1/2019,67.3,5.6,70.7,0.04
70.7,2.7,3/2/2019,68.9,6.2,72.9,0
69.3,3.3,3/3/2019,66.2,6.4,74.7,0.12
68.2,4.9,3/4/2019,64.8,6.2,72,0.02
73.1,4.4,3/5/2019,68,7,77.9,1.57
67.6,4.4,3/6/2019,63.5,6,68.9,0.02
61.5,3.8,3/7/2019,59.9,6.2,62.6,1.59
61.9,3.9,3/8/2019,60.8,6.8,62.8,1.32
63.7,3.2,3/9/2019,62.8,5.4,64.8,0.06
62.3,2.9,3/10/2019,59.4,4.3,63.5,0.39
63.2,2.2,3/11/2019,58.3,4.7,70.2,0.28
66.8,3,3/12/2019,60.3,7.4,73.6,0
70.4,4.2,3/13/2019,66.6,7.2,74.3,0
67.1,3.7,3/14/2019,63.7,7.6,69.3,0
64.4,3.4,3/15/2019,63,5.6,65.5,0.28
69.2,4.4,3/16/2019,66.6,7.4,71.8,0
69.1,3.9,3/17/2019,67.3,7,71.1,0
69.5,2.2,3/18/2019,66.2,5.8,73.8,0
74.7,3.4,3/19/2019,68.4,6.8,81.9,0
73.9,1.9,3/20/2019,72,3.7,76.5,0
78.1,6.6,3/21/2019,72.9,11.7,82.4,0
76.6,5.1,3/22/2019,68,7.8,81.7,0
64.1,4.7,3/23/2019,59.9,6,68.4,0
63.3,3.6,3/24/2019,59.9,8.5,65.3,0.14
68.9,2.4,3/25/2019,63.7,5.4,72.5,0.02
70.6,3.8,3/26/2019,68.9,6.6,75.2,0.04
73.1,2.4,3/27/2019,69.8,4.9,76.5,0
76.5,4.1,3/28/2019,72.9,7,81,0
75.4,5.1,3/29/2019,72,10.3,79.2,0
72.4,4.6,3/30/2019,72,7,73.4,0.14
69.6,5.8,3/31/2019,67.3,10.5,71.8,0
67.7,4.3,4/1/2019,66.2,5.4,69.3,0
69.4,3.4,4/2/2019,66.6,6.6,71.6,0
72.5,4.9,4/3/2019,68.9,8,77.4,0
70,2.2,4/4/2019,67.3,4.5,73.8,0
75.2,1.5,4/5/2019,68,4.1,84.2,0
77.5,5.1,4/6/2019,72.5,8.5,83.7,0
78.9,5.9,4/7/2019,76.3,7.4,83.5,0
80.3,5,4/8/2019,77.2,9.1,84.6,0
80.2,4.4,4/9/2019,77.4,8,84.6,0
80.4,6.1,4/10/2019,77,8.5,86,0
78.8,5.1,4/11/2019,72.5,8.4,85.5,0
70.2,5,4/12/2019,68.9,6.4,72.7,0.26
71,4.3,4/13/2019,69.3,7.2,72.7,0.41
73.2,2.2,4/14/2019,72,5.6,75.6,0
70.2,4.4,4/15/2019,67.1,5.6,72.5,0.45
70,1.8,4/16/2019,68.4,3.7,72.9,0.06
74.5,3,4/17/2019,70.9,5.6,79.2,0.59
75.2,3.2,4/18/2019,74.3,5.1,76.1,0
73.5,3.5,4/19/2019,70.2,5.6,83.3,0.39
74,1.8,4/20/2019,72,3.7,77.4,3.84
81.2,3.9,4/21/2019,75.2,6.6,85.1,1.22
81.5,4.3,4/22/2019,77.2,8.2,86,0
82,5.4,4/23/2019,78.8,10.3,87.1,0
82.4,5.6,4/24/2019,79.7,8.4,87.3,0
82.6,5.1,4/25/2019,77,8.9,87.3,0
82.1,4.2,4/26/2019,76.1,7.4,89.1,0
75.7,4.2,4/27/2019,73.6,6.2,78.8,0
76.6,3.2,4/28/2019,73.8,7.2,79.7,0.79
80.9,2.2,4/29/2019,78.3,4.5,85.3,0
79.6,3.4,4/30/2019,77,8,82.6,0
75.9,4.2,5/1/2019,70.2,5.6,81,0.83
71.5,3,5/2/2019,68.4,5.2,74.3,0.04
71.6,3.8,5/3/2019,65.7,6.2,73.8,0.61
71.3,4.1,5/4/2019,69.3,7.2,73.8,0.14
71.4,2.5,5/5/2019,70.7,5.1,71.8,0.79
70.8,3.2,5/6/2019,68,6.2,73.4,0.24
69,3.9,5/7/2019,67.1,6.8,70.2,0.49
69.2,1.8,5/8/2019,68.4,4.3,70.7,0.31
74.1,2.3,5/9/2019,69.8,4.7,79,0.75
76.3,2.4,5/10/2019,72,4.1,80.6,0
78.4,3,5/11/2019,72.7,6.4,84.2,0
78.6,5.4,5/12/2019,75.4,7.6,82.6,0
77.2,2.6,5/13/2019,75.6,6,78.3,0
82.9,3.2,5/14/2019,79.2,5.4,87.8,0
84.2,5.7,5/15/2019,82.4,7.8,86.4,0
84.9,9,5/16/2019,82.8,11.5,88.7,0.04
85.3,9.2,5/17/2019,83.5,12.8,87.3,0.02
86.5,7.7,5/18/2019,84.6,10.3,89.8,0.02
87,7.6,5/19/2019,84.2,10.1,90.9,0
81.4,5,5/20/2019,75.2,7.8,87.8,0
76,4.5,5/21/2019,73.4,8.5,78.8,0.53
79.4,3.2,5/22/2019,75.6,5.4,83.3,0.26
76.8,2.3,5/23/2019,75.6,4.5,78.3,0
77.4,4.3,5/24/2019,75.4,5.6,78.3,0.33
80.9,3.2,5/25/2019,78.3,6.6,86.4,0.02
80,2.3,5/26/2019,77.4,3.9,82.8,0.31
78.9,1.5,5/27/2019,77.2,2.5,81.5,1.38
78.5,3.7,5/28/2019,75.6,8,80.6,0.55
75.2,2.9,5/29/2019,73.8,4.3,77.2,1.65
76.6,3.4,5/30/2019,74.7,5.8,78.3,0.1
78.3,2.4,5/31/2019,76.5,4.9,80.6,0.1
81.1,5.9,6/1/2019,77,10.5,86.9,1.32
80.7,5.3,6/2/2019,78.8,11.7,87.8,0.24
81.5,5.5,6/3/2019,77.4,8.7,85.3,1.14
82.3,2.1,6/4/2019,79.2,7.8,88.2,0.33
84.6,2.8,6/5/2019,80.1,7.2,89.6,0.08
86,4.1,6/6/2019,81.5,7.6,90.9,0
86,6,6/7/2019,82.8,10.3,91.8,0
86.5,8.9,6/8/2019,84.4,10.9,90,0
86.6,10.2,6/9/2019,85.1,13,89.6,0
83,6.5,6/10/2019,77.2,10.9,87.8,0
78.9,1.9,6/11/2019,75.4,9.1,82.4,0.22
