Date,total_cpi,all,urban_cpi,urban,countryside_cpi,countryside
2020/09/1,101.7,all,101.6,urban,102.1,countryside
2020/08/1,102.4,all,102.1,urban,103.2,countryside
2020/07/1,102.7,all,102.4,urban,103.7,countryside
2020/06/1,102.5,all,102.2,urban,103.2,countryside
2020/05/1,102.4,all,102.3,urban,103,countryside
2020/04/1,103.3,all,103,urban,104,countryside
2020/03/1,104.3,all,104,urban,105.3,countryside
2020/02/1,105.2,all,104.8,urban,106.3,countryside
2020/01/1,105.4,all,105.1,urban,106.3,countryside
2019/12/1,104.5,all,104.2,urban,105.3,countryside
2019/11/1,104.1,all,103.9,urban,105,countryside
2019/10/1,103.8,all,103.5,urban,104.6,countryside
2019/09/1,103,all,102.8,urban,103.6,countryside
2019/08/1,103.3,all,103.2,urban,104.2,countryside
2019/07/1,102.8,all,102.7,urban,102.9,countryside
2019/06/1,102.7,all,102.7,urban,102.7,countryside
2019/05/1,102.7,all,102.7,urban,102.8,countryside
2019/04/1,102.5,all,102.5,urban,102.6,countryside
